"id";"SG_SEXO";"NU_IDADE";"DS_RACA_COR";"SG_UF";"DS_ESTADO_CIVIL";"ST_DEFICIENCIA";"ST_ENSINO_MEDIO_ESCOLA_PUBLICA";"ST_BOLSISTA_PROUNI";"VL_RENDA_FAMILIAR_BRUTA_MENSAL";"VL_RENDA_PESSOA_BRUTA_MENSAL";"VL_RENDA_PERCAPITA";"NU_SEMESTRE_FINANCIADO";"VL_FINANCIAMENTO";"ST_INADIMPLENCIA"
"56533";"F";30;"BRANCO";"RS";"SOLTEIRO";"N";"S";"N";1080;1080;360;10;78661,08;"S"
"94880";"M";29;"NEGRO";"MT";"SOLTEIRO";"N";"P";"N";1656;0;414;4;10986,41;"N"
"145135";"F";51;"BRANCO";"SP";"SOLTEIRO";"N";"S";"N";2200;2200;550;4;9108,22;"N"
"47172";"F";34;"PARDO";"MT";"CASADO";"N";"S";"N";1250;0;1250;10;72253,9;"S"
"144557";"F";31;"PARDO";"PR";"SOLTEIRO";"N";"S";"N";3533,42;880;706,68;6;17471,3;"S"
"202";"M";32;"PARDO";"AC";"SOLTEIRO";"N";"S";"S";3587,55;0;896,89;5;9401,26;"N"
"121794";"F";26;"NEGRO";"BA";"SOLTEIRO";"N";"S";"N";902;0;300,67;4;2540,42;"S"
"10326";"F";35;"BRANCO";"RS";"SOLTEIRO";"N";"S";"N";960;960;480;6;18435,41;"N"
"103637";"M";27;"BRANCO";"MS";"SOLTEIRO";"N";"S";"N";6000;0;1200;9;32903,67;"N"
"25000";"F";33;"PARDO";"RN";"SOLTEIRO";"N";"S";"N";2882,79;0;960,93;4;23075,34;"S"
"116635";"M";28;"PARDO";"BA";"SOLTEIRO";"N";"N";"N";2200;0;733,33;8;23854,47;"N"
"85425";"F";29;"PARDO";"MT";"SOLTEIRO";"N";"S";"N";600;600;600;10;13160,45;"S"
"15030";"M";36;"PARDO";"MT";"CASADO";"N";"S";"N";1041,59;1041,59;520,8;10;22822,85;"S"
"29192";"F";37;"BRANCO";"SP";"UNIAO ESTAVEL";"N";"S";"N";1000;0;1000;8;53285,11;"N"
"173247";"M";26;"BRANCO";"PR";"SOLTEIRO";"N";"S";"N";2159,2;622;539,8;10;46138,77;"N"
"76104";"M";43;"BRANCO";"MG";"CASADO";"N";"S";"N";1328,54;1328,54;664,27;9;31869,43;"S"
"140116";"F";37;"NEGRO";"MG";"SOLTEIRO";"N";"S";"N";736;736;736;3;8837,08;"S"
"66460";"F";47;"PARDO";"GO";"DIVORCIADO";"N";"S";"N";1000;1000;500;6;4706,96;"S"
"19034";"M";34;"PARDO";"MS";"SOLTEIRO";"N";"S";"N";710;710;710;7;8251,83;"S"
"148299";"F";29;"BRANCO";"PR";"SOLTEIRO";"N";"N";"N";15155,33;0;3788,83;8;33659,46;"N"
"116064";"M";41;"PARDO";"RJ";"SOLTEIRO";"N";"N";"N";7096,94;0;2365,65;9;143841,8;"N"
"143101";"F";28;"BRANCO";"SC";"SOLTEIRO";"N";"S";"N";3000;0;750;10;33047,54;"N"
"94527";"M";39;"PARDO";"SP";"UNIAO ESTAVEL";"N";"S";"N";865;865;865;10;70023,78;"S"
"58624";"F";36;"NEGRO";"BA";"DIVORCIADO";"N";"S";"N";750;750;375;6;31519,78;"S"
"52449";"M";45;"PARDO";"MG";"CASADO";"N";"S";"N";2233,78;1440,17;1116,89;5;13890,85;"N"
"28533";"F";28;"BRANCO";"PA";"SOLTEIRO";"N";"S";"N";1323;0;330,75;8;44674,95;"S"
"93628";"M";31;"PARDO";"BA";"SOLTEIRO";"N";"S";"N";1628;800;814;3;12269,95;"S"
"154251";"M";32;"PARDO";"RN";"SOLTEIRO";"N";"N";"N";2000;0;666,67;9;49683,4;"N"
"135786";"F";32;"BRANCO";"PR";"SOLTEIRO";"N";"N";"N";2000;600;666,67;8;21772,2;"N"
"64560";"M";32;"BRANCO";"AM";"DIVORCIADO";"N";"P";"N";500;500;500;8;25708,02;"N"
"50551";"M";31;"BRANCO";"MT";"SOLTEIRO";"N";"S";"N";1650;1650;825;7;19231,09;"N"
"188816";"F";35;"NEGRO";"RJ";"SOLTEIRO";"N";"S";"N";2200;0;440;9;88077,97;"S"
"43284";"F";48;"PARDO";"RJ";"SOLTEIRO";"N";"S";"N";897,45;897,45;299,15;10;69792,2;"S"
"33219";"M";30;"BRANCO";"RS";"SOLTEIRO";"N";"P";"N";2125;2125;2125;5;103852,34;"N"
"64350";"M";31;"NEGRO";"PI";"SOLTEIRO";"N";"S";"N";622;622;311;10;62998,75;"S"
"149350";"F";29;"BRANCO";"PR";"SOLTEIRO";"S";"S";"N";1045;0;522,5;6;18204,2;"N"
"123139";"F";27;"PARDO";"CE";"SOLTEIRO";"N";"S";"N";1448;0;482,67;6;18943,08;"S"
"77658";"F";28;"PARDO";"MT";"SOLTEIRO";"N";"S";"N";724;724;724;4;16222,63;"S"
"187961";"M";36;"PARDO";"RJ";"SOLTEIRO";"N";"S";"N";1289,21;789,21;644,61;5;7381,81;"S"
"11562";"F";34;"PARDO";"GO";"SOLTEIRO";"N";"N";"N";1048;1048;524;5;4437,78;"S"
"24557";"F";33;"BRANCO";"RS";"SOLTEIRO";"N";"N";"N";3762,12;1406,44;1254,04;3;4456,19;"N"
"105522";"M";27;"BRANCO";"GO";"SOLTEIRO";"N";"S";"N";810,42;810,42;405,21;6;3703,83;"S"
"63992";"F";32;"PARDO";"BA";"SOLTEIRO";"N";"N";"N";3000;0;1000;4;10646,15;"S"
"134655";"M";26;"PARDO";"RN";"SOLTEIRO";"N";"N";"N";622,64;0;311,32;4;4302,55;"S"
"159925";"F";30;"BRANCO";"RN";"SOLTEIRO";"N";"N";"N";2847,86;0;569,57;10;5275,56;"S"
"179536";"F";30;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";1585,96;1585,96;792,98;8;38058,2;"S"
"127148";"F";26;"BRANCO";"SC";"SOLTEIRO";"N";"S";"N";9527,73;0;2381,93;6;16753,36;"N"
"118424";"F";27;"BRANCO";"MA";"SOLTEIRO";"N";"S";"N";1866;622;622;6;19922,55;"S"
"148747";"M";33;"PARDO";"AL";"SOLTEIRO";"N";"S";"N";1220;0;406,67;3;14199,79;"S"
"2565";"F";41;"PARDO";"GO";"DIVORCIADO";"N";"S";"N";800;688;200;8;3937,9;"N"
"183528";"M";29;"BRANCO";"RN";"SOLTEIRO";"N";"S";"N";1356;0;339;8;39328,17;"S"
"44016";"M";32;"PARDO";"MT";"SOLTEIRO";"N";"P";"N";1782;1782;594;4;20210,17;"S"
"186918";"F";29;"BRANCO";"MG";"CASADO";"N";"S";"N";1025;1025;512,5;8;24987,58;"S"
"61784";"F";33;"PARDO";"CE";"SOLTEIRO";"N";"S";"N";1566;0;391,5;10;57830,63;"N"
"86616";"F";36;"BRANCO";"PR";"UNIAO ESTAVEL";"N";"P";"N";1176,04;1176,04;1176,04;4;6516,19;"N"
"95253";"M";60;"PARDO";"SP";"SEPARADO";"N";"S";"S";1415,59;1415,59;471,86;2;1173,27;"S"
"42614";"M";31;"PARDO";"GO";"SOLTEIRO";"N";"S";"N";2672,98;1308,94;1336,49;9;34046,51;"S"
"73574";"F";31;"AMARELO";"GO";"SOLTEIRO";"N";"S";"N";780;780;780;8;4824,42;"S"
"130985";"M";26;"BRANCO";"BA";"SOLTEIRO";"N";"S";"N";484;0;96,8;10;28714,04;"N"
"68387";"F";41;"PARDO";"PB";"SEPARADO";"N";"S";"N";622;0;207,33;4;8511,94;"S"
"37493";"F";31;"BRANCO";"MT";"SOLTEIRO";"N";"P";"N";540;540;540;5;40339,68;"S"
"47589";"F";33;"PARDO";"MS";"SOLTEIRO";"N";"N";"N";2550,94;1593,44;850,31;8;3723,28;"N"
"147537";"F";29;"BRANCO";"PR";"SOLTEIRO";"N";"S";"N";2000;0;666,67;10;37801,03;"N"
"153732";"M";31;"BRANCO";"DF";"SOLTEIRO";"N";"S";"N";550;550;550;2;4082,93;"S"
"134269";"F";57;"BRANCO";"SP";"DIVORCIADO";"N";"S";"N";1144,49;1144,49;572,25;6;3856,23;"N"
"16576";"F";30;"PARDO";"PA";"SOLTEIRO";"N";"S";"N";600;0;200;4;9452,95;"S"
"64036";"F";28;"BRANCO";"GO";"SOLTEIRO";"N";"N";"N";2367,5;0;591,88;8;37985,04;"N"
"181170";"M";27;"BRANCO";"PB";"SOLTEIRO";"N";"N";"N";1200;0;300;7;40867,26;"N"
"145729";"M";30;"BRANCO";"PR";"SOLTEIRO";"N";"S";"N";3437,73;1359,73;859,43;5;15444,62;"N"
"128217";"M";29;"BRANCO";"SC";"SOLTEIRO";"N";"S";"N";4656,05;2000;1552,02;6;21367,15;"N"
"176622";"M";50;"BRANCO";"SP";"SOLTEIRO";"N";"P";"N";900;900;900;10;12208,44;"N"
"174738";"F";30;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";2049;649;409,8;8;48806,61;"S"
"52428";"F";27;"AMARELO";"BA";"SOLTEIRO";"N";"N";"N";1080;0;540;10;9895,98;"N"
"22769";"F";29;"BRANCO";"RO";"SOLTEIRO";"N";"S";"N";2218,42;718,42;739,47;6;5223,23;"N"
"12117";"M";28;"BRANCO";"RO";"SOLTEIRO";"N";"S";"N";2062,72;600;1031,36;4;13457,71;"N"
"184122";"F";26;"BRANCO";"PR";"SOLTEIRO";"N";"N";"N";1335;0;667,5;8;93851,47;"N"
"106084";"F";39;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";815;815;271,67;8;45318,75;"N"
"46463";"M";30;"BRANCO";"RS";"SOLTEIRO";"N";"S";"S";1200;700;400;7;1797,32;"S"
"167369";"M";30;"BRANCO";"PR";"CASADO";"N";"N";"N";1000;1000;1000;9;304904,9;"N"
"72716";"M";30;"PARDO";"MT";"SOLTEIRO";"N";"S";"N";2344;1500;781,33;10;66116,84;"N"
"88816";"F";27;"BRANCO";"MA";"SOLTEIRO";"N";"S";"N";2200;0;550;5;11072,91;"S"
"52404";"F";27;"BRANCO";"CE";"SOLTEIRO";"N";"N";"N";3904,17;0;1301,39;8;57175,17;"N"
"101265";"F";31;"PARDO";"SE";"SOLTEIRO";"N";"P";"N";506;0;253;6;10703,93;"S"
"110071";"F";29;"PARDO";"PI";"SOLTEIRO";"N";"P";"N";678;0;226;3;5473,57;"N"
"90294";"M";30;"NEGRO";"MA";"SOLTEIRO";"N";"S";"N";2500;700;625;5;18754,25;"S"
"27654";"F";27;"PARDO";"MG";"SOLTEIRO";"N";"N";"N";6174;0;3087;8;67301,62;"N"
"188974";"F";28;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";2008;800;1004;4;7703,78;"N"
"33612";"F";36;"NEGRO";"MS";"UNIAO ESTAVEL";"N";"S";"N";750;750;375;10;68790,31;"S"
"61214";"F";28;"BRANCO";"RS";"SOLTEIRO";"N";"S";"N";3000;0;1000;9;71442,18;"N"
"99285";"M";29;"BRANCO";"PR";"SOLTEIRO";"N";"S";"N";5129;789;1282,25;10;34306,53;"N"
"76776";"F";28;"PARDO";"MT";"SOLTEIRO";"N";"S";"N";730;730;730;10;35821,63;"S"
"189203";"F";27;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";1294,76;640,76;647,38;10;30423,9;"S"
"131739";"F";58;"BRANCO";"SP";"CASADO";"N";"N";"N";1600;600;800;3;18287,74;"N"
"47544";"F";31;"PARDO";"DF";"SOLTEIRO";"N";"S";"N";981,89;0;490,95;8;31080,63;"S"
"65674";"F";32;"PARDO";"CE";"SOLTEIRO";"N";"N";"N";10000;5000;5000;6;111905,34;"N"
"36630";"M";32;"PARDO";"MT";"SOLTEIRO";"N";"S";"N";1000;1000;1000;10;11087,78;"S"
"72891";"M";32;"NEGRO";"MA";"SOLTEIRO";"N";"N";"N";4000;1948,75;800;9;12161,06;"S"
"117147";"F";29;"PARDO";"BA";"SOLTEIRO";"N";"S";"N";622;622;622;10;23980,01;"S"
"106593";"M";29;"BRANCO";"PR";"SOLTEIRO";"N";"N";"N";2500;0;1250;6;42297,87;"N"
"176951";"F";28;"BRANCO";"RN";"SOLTEIRO";"N";"N";"N";1356;150;339;4;14068,97;"S"
"31122";"M";26;"BRANCO";"MT";"SOLTEIRO";"N";"N";"N";1412,52;0;706,26;10;76919,49;"N"
"32468";"F";33;"BRANCO";"CE";"CASADO";"N";"S";"N";4380;0;1095;8;47613,22;"N"
"65070";"F";34;"PARDO";"SE";"SOLTEIRO";"N";"S";"N";334;200;47,71;8;33165,57;"S"
"101946";"F";27;"PARDO";"DF";"SOLTEIRO";"N";"S";"N";3324,7;0;831,18;8;49159,1;"S"
"80861";"M";30;"BRANCO";"GO";"SOLTEIRO";"N";"N";"N";5080,18;970,2;1693,39;5;14269,54;"N"
"107791";"M";38;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";724;724;724;6;41543,2;"N"
"179570";"F";25;"PARDO";"PE";"SOLTEIRO";"N";"N";"N";3779,25;0;755,85;10;69950,67;"N"
"55388";"F";27;"BRANCO";"BA";"SOLTEIRO";"S";"P";"N";4061,72;4061,72;812,34;10;8037,06;"N"
"142507";"F";28;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";1500;0;750;10;89347,46;"N"
"61340";"F";33;"PARDO";"SP";"SOLTEIRO";"N";"S";"N";1033;1033;1033;5;23575,04;"S"
"178603";"F";29;"PARDO";"MG";"SOLTEIRO";"N";"P";"S";700;0;350;7;17885,92;"N"
"96331";"F";37;"PARDO";"PE";"SOLTEIRO";"N";"N";"N";545;0;272,5;10;38705,45;"N"
"2059";"M";37;"BRANCO";"GO";"CASADO";"N";"S";"N";1250;1250;1250;10;63578,55;"N"
"169887";"F";26;"PARDO";"PE";"SOLTEIRO";"N";"N";"N";5462,1;0;1820,7;7;6826,43;"S"
"53378";"F";32;"NEGRO";"BA";"SOLTEIRO";"N";"S";"N";2059,85;0;686,62;6;18071,29;"S"
"23137";"F";36;"PARDO";"GO";"SOLTEIRO";"N";"S";"N";500;500;500;8;27972,12;"N"
"179141";"M";29;"PARDO";"MG";"SOLTEIRO";"N";"P";"N";2120;0;530;8;19796,57;"S"
"169920";"F";26;"BRANCO";"RN";"SOLTEIRO";"N";"N";"N";2000;0;1000;9;54876,21;"N"
"163242";"M";32;"BRANCO";"MG";"SOLTEIRO";"N";"S";"S";620;620;620;8;21262,31;"N"
"159556";"M";31;"INDIO";"PE";"SOLTEIRO";"N";"N";"N";1702,9;0;851,45;11;4532,17;"S"
"141177";"M";35;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";1736;1736;868;5;20349,65;"S"
"115737";"F";28;"NEGRO";"BA";"SOLTEIRO";"N";"S";"N";560;0;280;8;3499,35;"S"
"85837";"F";29;"PARDO";"MT";"DIVORCIADO";"N";"S";"N";643,8;0;643,8;10;46666,74;"N"
"155328";"F";28;"BRANCO";"PR";"SOLTEIRO";"N";"N";"N";2500;0;625;7;21046,34;"N"
"158211";"M";28;"BRANCO";"PE";"SOLTEIRO";"N";"S";"N";1832,51;0,01;916,26;10;22779,87;"S"
"128579";"M";35;"PARDO";"PE";"SOLTEIRO";"N";"S";"N";800;800;400;5;17706,32;"S"
"133854";"F";29;"BRANCO";"MG";"UNIAO ESTAVEL";"N";"P";"N";678;0;339;9;103086,2;"S"
"67876";"F";28;"PARDO";"CE";"SOLTEIRO";"N";"N";"N";4945,82;4945,82;989,16;10;71098,92;"N"
"47607";"F";27;"BRANCO";"GO";"SOLTEIRO";"N";"N";"N";6571,42;0;1314,28;8;190134,67;"N"
"76887";"F";41;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";1043,97;1043,97;347,99;7;23598;"N"
"42706";"M";32;"BRANCO";"TO";"CASADO";"N";"S";"N";1413,85;0;353,46;10;59370,32;"N"
"60710";"F";44;"BRANCO";"RN";"CASADO";"N";"N";"N";896,66;896,66;448,33;10;15192,31;"S"
"129752";"F";28;"BRANCO";"PR";"SOLTEIRO";"N";"S";"N";4418,23;0;883,65;10;63435,2;"S"
"76673";"M";30;"PARDO";"MT";"DIVORCIADO";"N";"S";"N";1350;1350;337,5;10;43263,07;"N"
"181356";"M";29;"PARDO";"MG";"SOLTEIRO";"N";"S";"N";2592;0;648;10;47692,08;"N"
"143907";"M";28;"BRANCO";"PR";"SOLTEIRO";"N";"S";"S";2100;0;700;10;53248,06;"N"
"177518";"F";31;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";2013,9;711,9;671,3;8;46886,55;"S"
"190000";"M";35;"PARDO";"RJ";"SOLTEIRO";"N";"S";"N";2918;1298;972,67;4;6131,01;"S"
"99393";"F";28;"PARDO";"MS";"SOLTEIRO";"N";"S";"N";2200;0;550;8;31455,95;"S"
"125814";"F";37;"NEGRO";"MG";"CASADO";"N";"S";"N";839,36;839,36;279,79;8;8586;"S"
"61218";"M";33;"PARDO";"CE";"SOLTEIRO";"N";"N";"N";2158,33;0;719,44;8;7037,14;"S"
"64987";"F";33;"NEGRO";"MS";"SOLTEIRO";"N";"S";"N";614;614;614;6;21116,42;"S"
"67954";"F";32;"PARDO";"DF";"SOLTEIRO";"N";"S";"N";450;450;450;2;3934,59;"N"
"184589";"F";38;"PARDO";"RJ";"DIVORCIADO";"N";"N";"N";690;690;690;6;32481,36;"S"
"86748";"F";29;"BRANCO";"MS";"DIVORCIADO";"N";"S";"N";2402,41;1041;600,6;5;10145,2;"N"
"45913";"F";30;"BRANCO";"RS";"SOLTEIRO";"N";"S";"N";1024,4;1024,4;1024,4;6;29643,11;"S"
"173756";"F";28;"BRANCO";"PE";"SOLTEIRO";"N";"S";"N";1268,37;0;211,4;10;69372,87;"S"
"137222";"M";37;"BRANCO";"MG";"SOLTEIRO";"N";"S";"N";1875,33;1;625,11;7;10293,73;"N"
"122517";"F";35;"BRANCO";"RJ";"SOLTEIRO";"N";"S";"N";1341,74;0;670,87;9;115904,1;"S"
"105754";"M";29;"BRANCO";"MA";"SOLTEIRO";"N";"N";"N";1400;622;700;8;41324;"N"
